fraud_reported,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,months_as_customer,insured_zip,age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year
Y,515050,11/16/2000,OH,100/300,500,990.98,0,398,469429,58,FEMALE,Associate,exec-managerial,cross-fit,0,-57900,2/2/2015,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Northbrook,1536 Flute Drive,18,1,YES,2,1,UNKNOWN,99320,7640,15280,76400,Accura,TL,2002
N,515217,6/18/2010,IL,250/500,2000,1316.63,8000000,91,613178,30,FEMALE,Masters,machine-op-inspct,golf,43900,0,1/8/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3495 Britain Drive,13,3,YES,2,0,UNKNOWN,84500,13000,13000,58500,BMW,X6,2009
N,515457,12/18/1996,IN,250/500,1000,988.93,0,89,614187,32,FEMALE,High School,craft-repair,golf,27600,0,1/23/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,NY,Columbus,2889 Francis St,11,1,UNKNOWN,2,3,YES,84590,15380,15380,53830,Dodge,Neon,1999
N,515698,8/5/1997,IN,250/500,2000,1097.64,0,119,614812,27,MALE,High School,transport-moving,video-games,27100,0,2/6/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,PA,Northbend,1133 Apache St,16,2,NO,1,0,UNKNOWN,63720,7080,21240,35400,Accura,TL,2006
N,516182,5/12/2007,OH,100/300,2000,719.52,0,253,606606,44,FEMALE,High School,farming-fishing,golf,45800,0,2/13/2015,Parked Car,NA,Trivial Damage,None,SC,Arlington,1741 Best Ridge,9,1,NO,0,3,UNKNOWN,5400,600,600,4200,Chevrolet,Malibu,1998
Y,516959,5/1/2010,IL,100/300,500,1508.12,6000000,264,433275,43,MALE,PhD,craft-repair,basketball,0,0,1/20/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Columbus,5276 2nd Lane,0,3,UNKNOWN,2,1,NO,60750,13500,6750,40500,Jeep,Wrangler,2015
Y,517240,5/13/2001,OH,100/300,2000,1352.31,0,274,465263,43,MALE,College,farming-fishing,basketball,40700,-47300,2/6/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbend,8983 Francis Ridge,22,1,YES,0,3,YES,63840,10640,10640,42560,BMW,X5,2006
Y,519312,10/28/2008,OH,500/1000,500,1848.81,0,215,435489,42,MALE,JD,transport-moving,video-games,0,-49000,2/6/2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,2457 Washington Ave,20,3,YES,2,2,YES,68520,11420,5710,51390,Suburu,Legacy,2003
Y,520179,5/29/1992,OH,500/1000,2000,1471.44,5000000,58,446657,23,MALE,High School,transport-moving,reading,57500,0,1/20/2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Riverwood,6110 Rock Ridge,8,1,NO,2,1,NO,50380,4580,9160,36640,Chevrolet,Tahoe,2007
Y,521585,10/17/2014,OH,250/500,1000,1406.91,0,328,466132,48,MALE,MD,craft-repair,sleeping,53300,0,1/25/2015,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,9935 4th Drive,5,1,YES,1,2,YES,71610,6510,13020,52080,Saab,92x,2004
N,521592,6/15/2014,IL,100/300,500,1354.2,0,140,438775,30,FEMALE,College,adm-clerical,bungie-jumping,100500,0,2/10/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Columbus,2537 5th Ave,4,4,UNKNOWN,0,0,UNKNOWN,60170,5470,10940,43760,Nissan,Pathfinder,2006
N,521694,3/3/1997,IL,100/300,2000,836.11,5000000,303,464230,50,MALE,Masters,sales,camping,0,0,1/20/2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Springfield,9751 Tree St,1,4,YES,1,2,NO,72840,12140,6070,54630,Dodge,Neon,2010
N,521854,2/16/2001,IN,250/500,1000,1096.39,0,198,603848,36,MALE,High School,armed-forces,kayaking,0,0,1/26/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,5584 Britain Lane,11,3,UNKNOWN,1,3,YES,49410,5490,5490,38430,Audi,A3,2015
N,522506,3/15/1992,IL,500/1000,2000,1399.85,0,217,605490,39,FEMALE,Masters,other-service,skydiving,49900,-19800,1/10/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,1923 2nd Hwy,16,3,NO,0,2,UNKNOWN,64920,10820,10820,43280,Ford,Fusion,1997
N,524215,6/24/1990,OH,250/500,2000,951.27,0,90,607131,31,FEMALE,PhD,other-service,hiking,42100,0,1/6/2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,SC,Hillsdale,8845 5th Ave,2,1,YES,1,0,YES,75790,13780,6890,55120,Accura,RSX,2007
Y,524230,2/23/2014,IN,100/300,500,920.3,5000000,81,461958,25,FEMALE,High School,tech-support,hiking,51000,-67900,2/21/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,WV,Hillsdale,9730 2nd Hwy,11,3,UNKNOWN,1,0,UNKNOWN,73920,13440,6720,53760,Honda,Civic,2003
N,524836,11/20/2008,IN,250/500,500,1082.49,0,439,606714,56,FEMALE,PhD,prof-specialty,chess,36100,-55000,2/28/2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,4866 4th Hwy,12,3,UNKNOWN,2,3,UNKNOWN,56430,0,6270,50160,Honda,CRV,2014
N,525224,10/2/1992,IN,250/500,1000,1306.78,0,147,466818,37,MALE,MD,prof-specialty,video-games,0,0,1/14/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Northbend,6717 Best Drive,22,1,UNKNOWN,1,0,NO,81120,13520,20280,47320,Toyota,Camry,1995
N,525862,10/18/2000,OH,250/500,2000,1188.51,0,50,447469,44,MALE,College,handlers-cleaners,bungie-jumping,0,-65800,1/8/2015,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,4710 Lincoln Hwy,15,3,UNKNOWN,1,2,NO,61100,6110,12220,42770,Dodge,Neon,2008
N,526039,5/4/1995,OH,100/300,500,1338.54,-1000000,284,438178,42,MALE,Associate,machine-op-inspct,kayaking,0,0,1/29/2015,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,3936 Tree Drive,13,1,YES,0,1,UNKNOWN,94160,8560,17120,68480,Chevrolet,Malibu,1996
Y,526296,8/3/1993,IL,100/300,500,1045.12,0,128,615311,31,FEMALE,High School,transport-moving,cross-fit,0,-28300,1/19/2015,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Springfield,5532 Francis Lane,2,3,NO,0,2,UNKNOWN,69930,0,15540,54390,Ford,Escape,2013
N,527945,4/14/1992,IN,250/500,500,1307.11,0,319,600648,47,MALE,College,transport-moving,dancing,0,0,2/17/2015,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,2804 Best St,22,3,NO,0,2,UNKNOWN,59730,10860,10860,38010,Audi,A3,2005
N,528259,12/22/2012,IN,500/1000,2000,1389.13,7000000,370,456203,55,MALE,JD,other-service,basketball,0,-53200,2/17/2015,Vehicle Theft,NA,Minor Damage,None,NC,Northbrook,4814 Lincoln Lane,6,1,UNKNOWN,0,2,UNKNOWN,9000,900,1800,6300,Mercedes,ML350,2015
Y,528385,11/7/1997,IL,500/1000,500,1320.39,0,43,604861,43,FEMALE,Associate,armed-forces,yachting,0,0,1/19/2015,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,Arlington,6603 Francis Hwy,16,1,UNKNOWN,2,1,UNKNOWN,79970,7270,21810,50890,Honda,CRV,1996
N,529112,1/8/1990,IN,100/300,500,1240.47,0,163,472573,33,FEMALE,Associate,other-service,polo,35300,0,2/18/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,7476 4th St,11,3,YES,1,1,UNKNOWN,77110,0,14020,63090,Honda,Civic,2014
N,529398,6/16/1993,OH,100/300,1000,1515.18,6000000,281,443191,43,MALE,College,priv-house-serv,camping,0,0,1/9/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Northbrook,9798 Sky Ridge,21,3,NO,1,0,NO,60190,9260,9260,41670,BMW,X6,1999
N,531160,1/12/2012,IL,250/500,500,1006.99,6000000,465,458936,63,FEMALE,Masters,sales,board-games,0,0,2/5/2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Columbus,8198 Embaracadero Lane,7,1,NO,0,3,UNKNOWN,43560,4840,4840,33880,Suburu,Legacy,2015
N,531640,4/21/2001,OH,250/500,500,964.79,8000000,245,460675,39,FEMALE,Associate,adm-clerical,camping,58000,0,2/20/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,1628 Best Drive,7,3,UNKNOWN,0,1,UNKNOWN,72820,13240,6620,52960,BMW,3 Series,2010
Y,532330,9/22/2002,OH,250/500,500,1459.97,5000000,111,441783,27,MALE,MD,sales,yachting,0,0,2/27/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,Northbend,4983 MLK Ridge,2,3,NO,1,2,NO,80850,7350,14700,58800,Ford,F150,2011
N,533940,11/18/2011,IL,500/1000,2000,1356.92,5000000,458,441714,62,MALE,Associate,handlers-cleaners,base-jumping,0,0,2/26/2015,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,Arlington,6128 Elm Lane,2,1,UNKNOWN,0,1,YES,46980,5220,5220,36540,Audi,A5,1998
Y,533941,6/18/1998,IN,250/500,2000,1618.65,2000000,451,475407,61,FEMALE,Associate,transport-moving,polo,0,-42600,2/4/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,OH,Columbus,2651 MLK Lane,3,3,YES,2,1,YES,78100,15620,7810,54670,Chevrolet,Tahoe,1997
N,534982,4/8/2003,IL,500/1000,2000,1526.11,5000000,354,469650,48,FEMALE,Masters,sales,exercise,0,0,1/3/2015,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,Columbus,8081 Flute Ridge,12,1,UNKNOWN,2,3,YES,90240,15040,15040,60160,Chevrolet,Malibu,1995
N,535879,3/5/2009,IN,100/300,1000,1685.69,0,458,472236,59,FEMALE,High School,protective-serv,hiking,31400,0,2/17/2015,Single Vehicle Collision,Front Collision,Total Loss,Police,VA,Hillsdale,3777 Maple Ave,23,1,UNKNOWN,2,2,YES,71800,14360,14360,43080,Jeep,Grand Cherokee,1995
Y,536052,4/21/2006,OH,250/500,2000,1218.56,0,186,477373,38,FEMALE,Masters,transport-moving,video-games,39300,-60300,3/1/2015,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Arlington,4642 Rock Ridge,23,3,YES,2,2,UNKNOWN,68760,11460,5730,51570,Saab,95,1998
N,537546,8/20/1994,IL,100/300,2000,1073.83,0,91,609930,27,FEMALE,JD,farming-fishing,polo,0,0,1/17/2015,Vehicle Theft,NA,Trivial Damage,None,NY,Arlington,2280 4th Ave,4,1,UNKNOWN,1,2,UNKNOWN,7260,1320,660,5280,BMW,M5,2008
N,538466,7/29/1995,IN,100/300,1000,1191.8,6000000,409,435299,57,MALE,High School,protective-serv,exercise,55600,0,1/6/2015,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Riverwood,6934 Lincoln Ave,19,1,NO,1,0,UNKNOWN,73320,6110,12220,54990,Ford,Fusion,2012
N,538955,9/29/2001,IN,100/300,1000,1164.97,0,65,477695,27,FEMALE,College,adm-clerical,exercise,43000,-42500,1/17/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Arlington,7135 Flute Lane,17,1,UNKNOWN,1,2,YES,42840,3570,7140,32130,Chevrolet,Silverado,2004
N,540152,1/27/1991,IL,100/300,500,1256.2,0,204,448310,40,FEMALE,JD,sales,hiking,0,0,1/7/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,5363 Weaver Lane,10,3,YES,1,2,YES,41700,8340,8340,25020,Saab,95,2013
N,542245,11/25/1991,OH,500/1000,1000,1003.15,0,130,462377,28,FEMALE,JD,farming-fishing,movies,0,-38500,1/23/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,SC,Hillsdale,4652 Flute Drive,21,2,YES,2,1,NO,85020,13080,13080,58860,Ford,Fusion,2010
N,543610,5/26/2002,OH,100/300,500,1253.12,4000000,235,462283,42,FEMALE,Masters,exec-managerial,dancing,38400,0,1/6/2015,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,1558 1st Ridge,22,1,YES,2,2,UNKNOWN,87010,7910,15820,63280,Ford,F150,2002
N,544225,8/3/2010,OH,100/300,500,1052.85,0,104,607697,30,FEMALE,MD,protective-serv,skydiving,0,-70100,2/9/2015,Vehicle Theft,NA,Minor Damage,Police,WV,Riverwood,3952 Andromedia Lane,8,1,NO,0,0,YES,4800,960,480,3360,BMW,3 Series,2006
N,545506,3/20/1991,IN,100/300,500,1389.13,0,285,452942,42,MALE,Associate,priv-house-serv,golf,63100,-79400,1/23/2015,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Hillsdale,5474 Weaver Hwy,13,1,NO,0,3,UNKNOWN,52700,5270,10540,36890,Toyota,Corolla,2005
Y,547744,7/8/2001,OH,100/300,2000,768.91,0,128,443522,32,FEMALE,College,sales,chess,0,-39300,2/26/2015,Single Vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,3743 Andromedia Ridge,0,1,UNKNOWN,1,0,NO,59800,5980,5980,47840,Ford,F150,1999
N,547802,9/3/2013,IL,250/500,1000,1518.46,0,249,606238,43,FEMALE,MD,armed-forces,cross-fit,0,0,1/26/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,2201 4th Lane,16,1,UNKNOWN,0,0,YES,53500,5350,5350,42800,Saab,92x,2015
N,550127,7/4/2007,IN,250/500,1000,1248.05,0,22,443550,21,FEMALE,High School,exec-managerial,movies,37500,-54000,2/15/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Police,SC,Arlington,9682 Cherokee Ridge,3,3,YES,1,2,UNKNOWN,53280,5920,0,47360,Chevrolet,Malibu,2015
Y,550294,11/26/2001,IL,500/1000,1000,1526.61,0,360,471866,51,MALE,Masters,handlers-cleaners,chess,0,-32900,1/30/2015,Vehicle Theft,NA,Minor Damage,Police,SC,Hillsdale,4264 Lincoln Ridge,5,1,YES,2,2,UNKNOWN,4620,840,840,2940,Dodge,RAM,2009
N,550930,10/12/1995,IL,500/1000,500,1500.04,6000000,63,613826,26,MALE,PhD,craft-repair,polo,0,-36500,2/13/2015,Vehicle Theft,NA,Minor Damage,Police,NC,Northbrook,1810 Elm Hwy,5,1,NO,0,2,YES,5160,860,860,3440,Accura,TL,2004
N,552618,1/22/1993,IN,100/300,1000,969.88,6000000,103,614385,33,MALE,MD,armed-forces,exercise,0,0,1/21/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Columbus,6409 Cherokee Drive,21,1,NO,1,0,YES,76920,12820,6410,57690,Chevrolet,Malibu,2002
N,552788,9/3/1991,IL,500/1000,1000,1313.64,0,101,438617,33,FEMALE,College,priv-house-serv,board-games,12100,0,2/10/2015,Parked Car,NA,Trivial Damage,None,NY,Hillsdale,7500 Texas Ridge,3,1,YES,1,0,NO,4290,780,390,3120,Audi,A3,1997
N,553436,6/3/1991,IL,250/500,500,1236.5,0,122,619620,33,MALE,PhD,other-service,bungie-jumping,0,-48700,2/12/2015,Parked Car,NA,Trivial Damage,None,NY,Hillsdale,8211 Sky Hwy,1,1,NO,0,1,NO,5060,460,920,3680,Nissan,Ultima,2003
N,553565,2/18/1999,IN,500/1000,2000,929.7,6000000,257,618632,43,FEMALE,PhD,handlers-cleaners,base-jumping,46400,-74300,1/14/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Arlington,3834 Pine St,12,1,UNKNOWN,2,2,YES,63240,10540,5270,47430,Mercedes,E400,2005
N,555374,1/5/2013,IL,100/300,1000,876.88,6000000,334,454434,46,MALE,MD,sales,reading,0,0,1/3/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Hillsdale,8489 Pine Hwy,2,1,NO,2,1,NO,57330,12740,6370,38220,Jeep,Grand Cherokee,1998
N,556080,11/11/1996,OH,250/500,1000,766.19,0,456,612260,60,FEMALE,Associate,sales,kayaking,0,0,2/26/2015,Parked Car,NA,Minor Damage,Police,WV,Columbus,1416 Cherokee Ridge,6,1,UNKNOWN,0,3,UNKNOWN,5060,460,920,3680,Mercedes,E400,2007
N,556270,2/21/1995,IN,500/1000,1000,1331.94,0,229,433974,37,FEMALE,Masters,farming-fishing,base-jumping,0,-55400,2/5/2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,NY,Columbus,7504 Flute Drive,17,1,NO,0,2,YES,54560,9920,9920,34720,Saab,95,2004
N,556415,8/22/1991,OH,100/300,2000,1108.97,0,392,431496,50,FEMALE,PhD,exec-managerial,exercise,68400,-66800,1/14/2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Springfield,1248 MLK Ridge,4,1,NO,2,2,YES,108030,16620,16620,74790,Saab,92x,2002
N,556538,7/15/2000,IL,250/500,1000,1851.78,0,141,465248,30,FEMALE,High School,craft-repair,exercise,78800,0,2/9/2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,SC,Riverwood,7144 Andromedia St,13,1,NO,1,0,YES,61740,6860,6860,48020,Audi,A3,2002
N,557218,11/23/1997,IL,500/1000,500,982.7,6000000,101,440865,27,FEMALE,College,transport-moving,video-games,30800,-43700,1/13/2015,Parked Car,NA,Minor Damage,None,SC,Arlington,7930 Texas Ave,9,1,NO,1,0,NO,5170,940,470,3760,Toyota,Camry,2001
N,558938,6/8/2005,OH,500/1000,1000,1199.44,5000000,70,619884,26,MALE,College,machine-op-inspct,hiking,63600,0,2/22/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,5074 3rd St,0,3,UNKNOWN,1,2,YES,52110,5790,5790,40530,Nissan,Maxima,2012
Y,563837,12/30/2002,IL,100/300,1000,1609.67,0,177,470128,33,MALE,College,adm-clerical,yachting,0,-13200,1/20/2015,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Springfield,4907 Andromedia Drive,22,1,UNKNOWN,1,3,UNKNOWN,82800,20700,13800,48300,Jeep,Grand Cherokee,2004
N,563878,7/16/2002,IN,250/500,500,956.69,0,120,438237,30,FEMALE,Associate,priv-house-serv,movies,39600,-64300,2/6/2015,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,Hillsdale,6770 1st St,20,1,UNKNOWN,1,1,YES,87100,8710,8710,69680,Saab,92x,2000
N,564654,7/16/2003,OH,100/300,1000,1004.14,0,41,459889,25,MALE,Masters,priv-house-serv,sleeping,35400,0,2/15/2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NC,Hillsdale,4242 Rock Lane,13,3,NO,1,3,NO,48000,9600,4800,33600,Dodge,RAM,1995
N,565157,10/6/2002,IL,100/300,1000,1046.71,0,288,616714,45,MALE,Masters,priv-house-serv,polo,0,0,2/27/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Hillsdale,8586 1st Ridge,4,3,UNKNOWN,2,1,UNKNOWN,48060,10680,5340,32040,Mercedes,C300,2009
N,565564,2/7/2007,OH,100/300,1000,1538.26,6000000,335,615346,50,MALE,High School,sales,yachting,62200,-31400,1/24/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Riverwood,9760 Solo Lane,12,3,YES,2,3,YES,34320,8580,4290,21450,Volkswagen,Passat,2009
Y,566720,10/25/2012,OH,100/300,500,1195.01,0,283,476227,41,FEMALE,Associate,sales,reading,60700,-54300,1/8/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Northbend,1555 Washington Lane,13,3,NO,0,2,UNKNOWN,42700,0,6100,36600,Mercedes,ML350,2011
N,569245,12/5/1995,IL,100/300,2000,1239.06,0,293,439360,49,FEMALE,JD,transport-moving,skydiving,34900,0,1/10/2015,Single Vehicle Collision,Front Collision,Total Loss,Police,SC,Riverwood,2820 Britain St,19,1,UNKNOWN,1,1,UNKNOWN,57310,5210,10420,41680,Volkswagen,Passat,2002
Y,569714,12/4/2005,OH,500/1000,1000,1051.67,0,115,479824,31,FEMALE,Associate,exec-managerial,bungie-jumping,0,0,3/1/2015,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,WV,Riverwood,1472 4th Drive,18,3,YES,0,3,NO,34160,0,4270,29890,Audi,A5,2005
Y,571462,2/11/1991,IN,500/1000,500,1285.42,0,121,465440,34,MALE,MD,priv-house-serv,video-games,0,0,1/21/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,VA,Northbrook,1578 5th Lane,11,1,NO,1,1,NO,67300,6730,6730,53840,Dodge,RAM,2000
N,573572,6/16/1991,IL,100/300,500,1429.96,0,194,463307,34,FEMALE,JD,protective-serv,board-games,67800,0,1/12/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Northbend,9633 4th St,11,3,NO,1,2,YES,57200,11440,5720,40040,Toyota,Camry,2005
N,574637,7/30/1992,IL,250/500,1000,1595.28,0,411,479320,56,FEMALE,College,protective-serv,exercise,0,0,1/6/2015,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,Springfield,8049 4th St,23,3,UNKNOWN,0,0,UNKNOWN,38610,3510,3510,31590,Volkswagen,Passat,2007
N,574707,8/23/2005,IN,250/500,2000,1155.97,0,356,431104,47,MALE,High School,prof-specialty,camping,0,0,2/23/2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Columbus,2862 Tree Ridge,5,1,YES,0,3,UNKNOWN,61490,5590,11180,44720,Dodge,RAM,2009
Y,575000,6/23/2012,OH,100/300,1000,1053.04,7000000,101,619540,33,FEMALE,Masters,other-service,reading,52000,-44500,2/24/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Northbrook,5621 4th Ave,20,3,NO,1,3,UNKNOWN,54240,9040,9040,36160,Saab,93,2013
N,576723,12/7/1999,IL,250/500,500,1611.83,0,266,460176,44,MALE,High School,handlers-cleaners,movies,0,0,1/2/2015,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Riverwood,6309 Cherokee Ave,4,1,UNKNOWN,1,2,YES,32800,3280,3280,26240,BMW,3 Series,2012
N,577810,4/15/2013,OH,250/500,2000,1589.54,0,369,444734,55,MALE,College,handlers-cleaners,camping,55400,0,1/27/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,9373 Pine Hwy,6,3,UNKNOWN,2,0,YES,85300,17060,8530,59710,Toyota,Highlander,2003
N,577858,9/16/1990,OH,100/300,2000,1148.58,0,249,475524,43,FEMALE,MD,adm-clerical,golf,0,-71200,2/16/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Arlington,6309 5th Ave,4,3,YES,2,1,YES,57100,5710,5710,45680,Honda,CRV,2014
N,577992,11/13/2002,IN,250/500,500,915.41,5000000,5,612316,21,FEMALE,High School,exec-managerial,sleeping,0,0,2/11/2015,Single Vehicle Collision,Side Collision,Total Loss,Police,NY,Northbrook,8456 1st Ave,23,1,YES,0,0,NO,40500,4050,4050,32400,Nissan,Pathfinder,1998
N,582011,3/10/1997,IL,100/300,1000,1245.89,0,192,435481,35,FEMALE,Masters,exec-managerial,movies,0,-40300,1/1/2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,6011 Britain St,19,1,NO,0,0,UNKNOWN,76600,15320,7660,53620,Mercedes,C300,2000
N,582480,8/7/1991,IL,500/1000,500,1187.01,7000000,253,613436,43,FEMALE,Associate,tech-support,exercise,46300,-33000,2/2/2015,Vehicle Theft,NA,Trivial Damage,Police,NY,Northbrook,2986 MLK Drive,9,1,NO,0,1,UNKNOWN,3840,640,640,2560,Chevrolet,Tahoe,2014
Y,582973,6/11/2008,IN,100/300,2000,765.64,0,10,466191,26,MALE,MD,sales,base-jumping,0,-22200,2/16/2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Northbrook,6985 Maple Lane,3,3,UNKNOWN,0,3,UNKNOWN,31350,2850,5700,22800,Honda,Accord,2001
Y,583169,2/1/1998,IL,100/300,500,1085.03,0,290,476303,45,FEMALE,JD,sales,cross-fit,0,-61000,3/1/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Arlington,4347 2nd Ridge,23,3,YES,2,2,NO,64800,12960,6480,45360,Audi,A3,2014
N,584859,4/4/1992,IL,100/300,1000,1558.29,0,114,472248,30,MALE,High School,farming-fishing,video-games,51400,-64000,1/9/2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,8353 Britain Ridge,1,3,NO,1,2,UNKNOWN,77110,14020,14020,49070,Suburu,Impreza,2015
N,585324,2/25/2008,OH,500/1000,2000,1551.61,0,191,470670,33,MALE,High School,armed-forces,movies,45000,-30400,2/21/2015,Vehicle Theft,NA,Minor Damage,None,WV,Arlington,8306 1st Drive,3,1,YES,1,1,NO,2250,250,250,1750,Toyota,Corolla,2005
N,586104,3/16/2003,IN,250/500,2000,1219.27,0,296,466970,42,MALE,Associate,tech-support,paintball,53100,-63400,2/16/2015,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,1267 Francis Hwy,9,3,YES,1,2,NO,64080,7120,7120,49840,Saab,93,2012
N,586367,6/30/2000,IL,100/300,500,1011.92,0,468,468168,62,MALE,PhD,machine-op-inspct,paintball,0,0,2/15/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Riverwood,3486 Flute Ave,7,3,YES,0,3,UNKNOWN,64350,7150,7150,50050,Chevrolet,Tahoe,2009
N,587498,10/15/1996,IL,500/1000,500,1351.72,0,396,612102,57,MALE,High School,tech-support,camping,0,-49400,2/5/2015,Parked Car,NA,Minor Damage,None,NY,Springfield,3995 Lincoln Hwy,3,1,YES,1,3,UNKNOWN,2640,480,480,1680,Volkswagen,Passat,2000
Y,589094,5/27/2003,IN,250/500,1000,1353.53,0,274,451467,45,FEMALE,JD,tech-support,cross-fit,54700,-47900,1/14/2015,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Columbus,2900 Sky Drive,13,1,YES,0,0,NO,58500,11700,0,46800,Accura,MDX,1995
N,589749,5/14/2006,IN,100/300,1000,1197.71,0,45,470117,38,MALE,Masters,machine-op-inspct,movies,29000,0,2/14/2015,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Springfield,3770 Flute Drive,17,3,UNKNOWN,2,0,UNKNOWN,78240,13040,13040,52160,Suburu,Legacy,2013
N,591269,1/9/1999,IN,100/300,500,1672.88,0,295,478947,46,FEMALE,High School,armed-forces,dancing,0,0,2/17/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Columbus,4633 5th Lane,5,1,YES,1,1,NO,60700,12140,6070,42490,Honda,Civic,1997
N,593390,3/24/2006,IL,100/300,2000,924.72,0,69,437688,26,FEMALE,High School,machine-op-inspct,base-jumping,0,0,1/7/2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,6104 Oak Ave,14,1,NO,2,2,NO,63120,5260,10520,47340,Audi,A5,2008
